credit_policy,purpose,int_rate,installment,log_annual_inc,dti,fico,days_with_cr_line,revol_bal,revol_util,inq_last_6mths,delinq_2yrs,pub_rec
1,all_other,0.1273,268.53,10.46310334,5.11,717,3030.041667,3878,38.8,0,0,0
1,debt_consolidation,0.0751,311.1,10.08580911,10.8,787,5520,663,1.7,3,0,0
1,debt_consolidation,0.1099,204.6,10.27505111,23.88,702,1920.041667,5583,58.8,2,0,0
1,home_improvement,0.1348,590.28,11.26957921,3.6,742,8311.041667,221,44.2,5,0,0
1,debt_consolidation,0.1273,251.75,10.18111929,11.91,697,5040.041667,6202,33.7,2,1,0
1,all_other,0.1025,485.78,11.69524702,14.2,732,13410.04167,19962,49,1,0,0
1,debt_consolidation,0.1062,208.39,11.21559702,23.54,707,3840.041667,5732,79.6,3,0,0
1,debt_consolidation,0.1385,835.55,11.3409502,21.72,712,5250.041667,33313,74.4,0,0,0
1,major_purchase,0.1348,169.63,10.77895629,3.13,697,4440,198,39.6,1,0,0
1,all_other,0.1025,712.47,11.23445167,15.46,762,5580.041667,17346,18.6,0,0,0
1,all_other,0.0774,115.51,11.03838355,22.99,742,7302,18728,42.1,0,0,0
1,debt_consolidation,0.1062,488.4,10.82087768,16.18,732,3030.041667,12365,56.2,3,0,0
1,debt_consolidation,0.1062,390.72,11.40756495,24.16,717,3840.041667,32751,62.5,0,0,0
1,all_other,0.0988,144.95,10.35774282,20.76,722,2220,1792,39.8,3,0,0
1,debt_consolidation,0.1025,323.85,10.57131693,20.86,717,4260.041667,9844,39.1,0,0,0
1,all_other,0.0714,185.64,11.36210258,3.42,767,8970.041667,6760,12.5,0,0,0
1,debt_consolidation,0.1459,448.05,10.858999,13.64,677,2850.041667,10525,80.3,0,0,0
1,debt_consolidation,0.0788,109.49,9.852194258,24.32,717,11850.04167,2357,8.8,1,0,0
1,all_other,0.1385,572.95,11.00209984,5.36,697,2099.041667,11330,68.3,0,0,0
1,debt_consolidation,0.1348,610.64,10.93310697,21.26,697,5850,27292,52.7,0,0,0
1,major_purchase,0.0714,30.94,10.83958091,16.99,762,5580.041667,737,7.8,1,0,0
1,small_business,0.1099,392.83,11.94470788,19.25,712,7590.041667,143499,73.8,1,0,0
1,all_other,0.0788,62.57,10.20359214,21.56,717,2220,8344,42.8,1,0,0
1,debt_consolidation,0.1533,278.63,11.2515607,16.04,677,6030.041667,25573,95.4,3,0,1
1,all_other,0.1136,65.83,11.15665044,0.34,697,2160,218,14.5,2,0,0
1,debt_consolidation,0.1348,678.49,11.51292546,20.5,702,3750.041667,26669,62.3,2,0,0
1,debt_consolidation,0.0788,228.35,10.73639581,10.74,727,2790.041667,8075,52.8,0,0,0
1,debt_consolidation,0.1645,300.71,10.16585182,15.83,677,1473,9306,97.6,0,0,0
1,debt_consolidation,0.1062,651.2,10.27505111,12.58,762,4110,6011,33.4,0,0,0
1,debt_consolidation,0.1099,818.38,11.1124479,19.9,752,4200.041667,8392,21.7,0,0,0
1,debt_consolidation,0.1136,403.17,10.30895266,21.68,702,3420.041667,15079,54,1,1,0
1,debt_consolidation,0.1533,208.97,10.34174248,11.26,667,1560.041667,5446,70.7,0,0,0
1,all_other,0.0788,187.69,10.74720759,10.3,777,4592.041667,1490,9.6,0,0,0
1,debt_consolidation,0.1459,460.11,10.93310697,12.19,677,3270,9410,72.4,0,1,0
1,educational,0.0751,311.1,10.71441777,1.92,792,6543,1569,2.4,2,0,0
1,major_purchase,0.1385,682.08,10.81977828,13.15,697,3450.041667,8230,43.3,0,0,0
1,debt_consolidation,0.1273,268.53,10.26813067,15.5,687,1980.041667,9070,58.5,2,0,0
1,all_other,0.1062,227.92,11.35369524,17.58,707,6180,2805,14.6,0,1,0
1,debt_consolidation,0.0714,92.82,10.98529272,12.85,732,3480.041667,3210,12.7,0,0,0
1,debt_consolidation,0.1099,523.77,10.54534144,20.18,722,4830,21370,33.8,1,0,0
1,debt_consolidation,0.1025,323.85,11.1124479,15.17,717,8610.041667,8180,49.6,1,0,0
1,debt_consolidation,0.1311,330.7,10.40426284,8.25,687,6635,5745,18.4,2,1,0
1,debt_consolidation,0.1385,341.04,10.7938449,16.5,702,4383,20800,29.9,2,1,0
1,credit_card,0.1136,658.23,11.22524339,19.65,717,7050.041667,51027,41.8,2,1,0
1,major_purchase,0.1062,260.48,11.35040654,17.92,732,4560.041667,28824,39.2,0,0,0
1,debt_consolidation,0.1136,822.78,11.40756495,11.11,732,4921.041667,7462,33.8,3,1,0
1,debt_consolidation,0.1459,861.63,11.22524339,14.64,712,4560.041667,31675,64,0,0,0
1,educational,0.1062,97.68,10.18490001,10.6,717,3840.041667,7154,68.8,0,0,0
1,debt_consolidation,0.1062,452.58,11.24373798,15.41,717,3030.041667,18519,55.8,0,0,0
1,debt_consolidation,0.0714,247.52,11.51092346,10.16,772,4380,21557,26.2,1,0,0
1,debt_consolidation,0.0751,186.66,10.71441777,6.64,742,2250,5999,19.5,1,0,0
1,all_other,0.0988,322.11,11.34398597,1.73,752,3767.041667,2403,22,4,0,0
1,credit_card,0.1348,271.4,11.31447453,13.07,687,4230.041667,28539,94.5,0,0,0
1,home_improvement,0.0988,644.21,11.31447453,8.25,792,8506,16835,15.8,1,0,0
1,debt_consolidation,0.1273,335.67,10.46310334,8.71,702,4530.041667,6907,29.3,0,0,0
1,credit_card,0.1136,493.67,11.93314361,9,742,4080,7939,85.4,1,0,0
1,credit_card,0.0788,406.65,11.81303006,14.09,752,10050.04167,28184,43.2,1,0,0
1,debt_consolidation,0.1273,839.16,11.42954386,15.47,722,5708.041667,23251,70.7,0,0,0
1,credit_card,0.1136,771.77,12.01974307,17.76,727,8130,72623,50.8,1,0,0
1,all_other,0.1136,230.38,10.93310697,8.61,697,2136,9342,43.9,2,0,0
1,all_other,0.1422,411.41,11.00209984,16.06,687,1350.041667,15548,75.1,0,0,0
1,debt_consolidation,0.1136,658.23,11.00209984,15.28,717,2640,12880,61.7,2,0,0
1,credit_card,0.1025,485.78,11.1844214,23.85,737,3810.041667,27801,49.4,0,0,0
1,debt_consolidation,0.0788,281.53,10.77895629,10.22,737,4200.041667,9874,54.9,1,0,0
1,debt_consolidation,0.0788,250.25,10.59663473,24.33,747,2701.041667,2668,14.1,2,0,0
1,debt_consolidation,0.1385,682.08,11.53272809,23.45,712,7921.041667,37642,93.9,1,0,0
1,debt_consolidation,0.1099,197.23,10.54534144,9,742,1620.041667,59,1.5,3,0,0
1,debt_consolidation,0.1273,402.8,10.82697234,18.35,697,3960,12006,46.4,0,1,0
1,home_improvement,0.0788,312.81,10.42228135,21.23,747,4735,9736,16.7,2,0,0
1,debt_consolidation,0.1311,539.92,11.04771035,20.96,707,4620.041667,16327,70.1,0,0,0
1,educational,0.1025,323.85,10.42228135,11.04,737,2610,1297,49.9,2,0,0
1,debt_consolidation,0.1099,163.68,10.65225864,9.53,737,2430.041667,3184,42.5,1,0,0
1,debt_consolidation,0.0988,547.58,11.15625052,16.82,747,6780.041667,19388,19.8,0,0,0
1,all_other,0.1422,548.55,11.69524702,12.41,707,4440,33113,97.4,2,0,0
1,credit_card,0.1385,300.12,10.49127422,12.77,687,3570.041667,12326,92.7,1,0,0
1,debt_consolidation,0.1273,805.59,11.36789969,15.27,722,5340.041667,9138,62.2,0,0,0
1,credit_card,0.0988,322.11,10.07005864,19.61,737,2970,12652,66.2,1,0,0
1,debt_consolidation,0.1025,310.9,10.71441777,14.88,717,4470,7968,57.7,1,0,0
1,debt_consolidation,0.1422,377.13,11.00209984,18.6,682,4470,16634,94.5,0,0,0
1,small_business,0.1385,596.82,11.22524339,22.18,697,3210.041667,38537,88,3,0,0
1,debt_consolidation,0.1496,173.24,11.28978191,13.24,687,2970,11375,87.2,0,0,0
1,debt_consolidation,0.1273,839.16,11.70354582,21.63,712,5580.041667,13833,64.9,2,0,0
1,all_other,0.0788,469.21,11.33857208,3.41,807,7410.041667,36048,61.1,1,0,0
1,debt_consolidation,0.1025,323.85,11.36789969,12.12,712,3540.041667,10354,32,0,0,0
1,credit_card,0.1025,97.16,10.23995979,23.61,702,2280,2325,9,2,0,0
1,all_other,0.1099,180.05,11.00209984,17.42,697,5700.041667,723,16.4,0,3,0
1,debt_consolidation,0.0751,357.76,11.08214255,9.82,787,5558,1944,13.6,3,0,0
1,credit_card,0.1348,393.52,11.01862914,10.9,682,4560.041667,3715,26.5,1,0,0
1,debt_consolidation,0.1385,327.4,11.40756495,4.95,677,4290.041667,16733,70,1,0,0
1,all_other,0.1025,323.85,11.08214255,9.3,742,1547,3543,12.8,1,0,0
1,all_other,0.0751,298.65,10.96819829,9.89,777,5250.041667,3592,13.2,1,0,0
1,debt_consolidation,0.1136,144.81,11.08214255,18.22,687,2301,14878,50.8,2,0,0
1,all_other,0.1099,392.83,11.40756495,13.43,707,5610.041667,22853,58.7,1,0,0
1,debt_consolidation,0.1311,134.98,9.903487553,20.88,677,3090.041667,9418,38.1,0,1,0
1,major_purchase,0.157,350.11,11.19684392,3.29,662,6960,4322,86.4,0,0,4
1,all_other,0.0788,218.97,10.83958091,10.68,727,4260.041667,973,14.1,0,0,1
1,debt_consolidation,0.157,875.27,11.79244935,14.21,692,3330,25262,73.7,0,0,0
1,credit_card,0.1099,327.36,10.89673933,24.67,707,4770,14287,17.9,1,0,0
1,credit_card,0.0751,342.21,10.58405595,8.87,757,4290.041667,11157,45,0,0,0
1,debt_consolidation,0.1273,201.4,10.6454249,19.63,677,6390.041667,4987,56,1,0,0
1,home_improvement,0.0788,469.21,11.91839057,4.05,772,4710,8213,15.1,0,0,0
1,debt_consolidation,0.1459,413.58,10.87804719,16.53,687,1201.041667,9114,54.6,0,0,0
1,major_purchase,0.1099,785.65,11.42954386,15.69,742,4845,14065,38.9,1,0,0
1,all_other,0.0788,31.29,11.1844214,17.15,717,3690,23572,66.6,1,0,0
1,educational,0.0788,375.37,10.59663473,14.79,762,2611,1357,7.1,0,0,0
1,major_purchase,0.1385,518.38,11.73606902,0,692,2250,0,0,0,0,0
1,all_other,0.1385,54.57,11.03488966,20.15,682,2580,21370,95.4,0,0,0
1,debt_consolidation,0.1136,822.78,11.73606902,12.74,732,6690.041667,26510,65.8,0,0,0
1,debt_consolidation,0.0714,77.35,11.14186178,0.2,762,7260,2153,23.2,0,0,0
1,credit_card,0.1062,814,11.26446411,12.32,757,6450.041667,24413,44.7,0,0,0
1,debt_consolidation,0.1533,452.77,10.95080655,22.76,677,7005,24648,90,2,0,0
1,debt_consolidation,0.1385,682.08,12.10625231,9.18,692,5886,12970,74.5,2,0,0
1,all_other,0.1025,485.78,10.51867319,3.66,742,2730.041667,3508,21.1,2,0,0
1,major_purchase,0.0788,218.97,10.91508846,21.84,722,5520,23302,67.6,2,0,0
1,home_improvement,0.1099,491.03,12.27839331,0.41,752,4600.041667,2583,15.9,0,0,0
1,credit_card,0.1136,41.97,10.71441777,18.83,692,5190,9961,85.9,1,0,0
1,credit_card,0.1099,621.97,10.81977828,24.53,727,2430.041667,20371,65.4,0,0,0
1,all_other,0.1533,522.43,11.35040654,22.63,682,3660,21180,96.7,2,0,0
1,major_purchase,0.0751,130.66,10.59663473,15.57,742,2340.041667,1801,62.1,2,0,0
1,debt_consolidation,0.1496,242.53,10.04324949,17.06,672,1422,9707,46.2,3,0,0
1,debt_consolidation,0.1273,402.8,11.40756495,22.75,697,5010.041667,42632,45.9,3,0,0
1,all_other,0.0714,111.39,10.83958091,22.38,747,10350.04167,24809,62.5,3,0,0
1,all_other,0.1025,323.85,10.18111929,15.45,722,2610,2429,81,3,0,0
1,home_improvement,0.1025,129.54,11.19134184,22.23,712,4830,33317,44.6,0,0,0
1,debt_consolidation,0.1099,549.95,10.45791849,20.13,722,2220,10887,57.3,0,0,0
1,debt_consolidation,0.1311,438.69,11.06663836,18.68,707,1800,15362,49.9,3,0,0
1,debt_consolidation,0.1136,65.83,10.95080655,15.26,687,4740,23068,84.8,1,0,0
1,debt_consolidation,0.1099,180.05,10.79712359,19.79,697,3060.041667,6035,23.9,0,0,0
1,debt_consolidation,0.1311,506.18,11.3736634,11.24,692,7800.041667,17354,38.2,1,0,0
1,debt_consolidation,0.1273,268.53,12.94800999,2.01,702,3660,10572,56.2,1,0,0
1,debt_consolidation,0.1099,327.36,11.15625052,6.69,712,6030.041667,12529,67.7,0,0,0
